,name,start_clash,target_clash,rmsd,glide_score,score_no_vdw,modified_score_no_vdws
421,"38_-1,-1,0_10,5,-5",26.65518778,27.50159096,2.08953303,10000,-2.63,-2.63
422,"38_-1,-1,0_10,5,0",30.30792522,29.50290103,2.101027777,10000,-1.97,-1.97
423,"38_-1,-1,0_15,-10,-5",39.55060104,28.40275865,2.525514658,10000,-3.345,-3.345
424,"38_-1,-1,0_15,-5,-5",30.64929244,25.11608623,2.369134397,10000,-3.11,-3.11
425,"38_-1,-1,0_15,0,-5",25.41859945,23.92112933,2.257378709,10000,-2.99,-2.99
426,"38_-1,-1,0_15,5,-5",27.57667405,26.77774146,2.197963707,10000,-2.51,-2.51
427,"38_-1,-1,0_20,0,-5",33.7803351,28.49874443,2.432500073,10000,-2.77,-2.77
428,"38_-1,-1,0_20,5,-5",32.9067474,29.14971686,2.35060403,10000,-2.345,-2.345
429,"42_-1,-1,0_-5,-15,-5",73.33423546,28.39844435,2.275565072,10000,-3.875,-3.875
430,"42_-1,-1,0_-5,-15,0",71.22956161,24.42981307,2.241406433,10000,-3.955,-3.955
431,"42_-1,-1,0_-5,-10,-5",68.97279807,27.33526873,2.13176802,10000,-3.265,-3.265
432,"42_-1,-1,0_-5,-10,0",66.75091624,23.20544737,2.098451026,10000,-3.145,-3.145
433,"42_-1,-1,0_-5,-10,5",75.05339682,28.40907124,2.197694109,10000,-3.22,-3.22
434,"42_-1,-1,0_-5,-5,-5",64.2978906,29.63388573,2.03985327,10000,-5.27,-5.27
435,"42_-1,-1,0_-5,-5,0",62.18994002,26.03588239,2.011320026,10000,-5.29,-5.29
436,"42_-1,-1,0_0,-20,-5",63.75103769,23.09884833,2.52728257,10000,-5.445,-5.445
437,"42_-1,-1,0_0,-20,0",67.83035078,24.78512857,2.50540109,10000,-6.225,-6.225
438,"42_-1,-1,0_0,-15,-5",61.27967039,20.06103654,2.324289273,10000,-4.855,-4.855
439,"42_-1,-1,0_0,-15,0",62.34064162,18.99105204,2.298255151,10000,-5.085,-5.085
440,"42_-1,-1,0_0,-15,5",76.96512432,29.3244636,2.392664274,10000,-5.025,-5.025
441,"42_-1,-1,0_0,-10,-5",62.92817501,23.22034453,2.158255841,10000,-3.71,-3.71
442,"42_-1,-1,0_0,-10,0",62.51939226,21.13373418,2.13056854,10000,-3.79,-3.79
443,"42_-1,-1,0_0,-10,5",73.02276798,28.45636568,2.171012103,10000,-3.515,-3.515
444,"42_-1,-1,0_0,-5,-5",61.43348074,27.0904397,2.039624126,10000,-4.985,-4.985
445,"42_-1,-1,0_0,-5,0",60.9178087,25.65824044,2.013634968,10000,-5.155,-5.155
446,"42_-1,-1,0_5,-25,-5",66.65579907,29.40553552,2.875330706,10000,-3.59,-3.59
447,"42_-1,-1,0_5,-20,-10",61.45295127,25.72621449,2.703819707,10000,-5.195,-5.195
448,"42_-1,-1,0_5,-20,-5",56.60098037,18.90171145,2.637009879,10000,-5.72,-5.72
449,"42_-1,-1,0_5,-20,0",67.28267886,26.62016471,2.622813506,10000,-6.595,-6.595
450,"42_-1,-1,0_5,-15,-10",64.82441923,27.30571509,2.500211355,10000,-4.63,-4.63
451,"42_-1,-1,0_5,-15,-5",56.26331704,17.59920928,2.422143617,10000,-4.67,-4.67
452,"42_-1,-1,0_5,-15,0",62.76375204,21.39338083,2.40211986,10000,-5.3,-5.3
453,"42_-1,-1,0_5,-10,-5",60.82129563,23.02288356,2.239347624,10000,-4.11,-4.11
454,"42_-1,-1,0_5,-10,0",62.90143409,23.24994592,2.21533053,10000,-4.19,-4.19
455,"42_-1,-1,0_5,-5,-5",61.56566688,27.6161177,2.098570814,10000,-3.995,-3.995
456,"42_-1,-1,0_5,-5,0",63.33376478,28.51637535,2.073220819,10000,-4.135,-4.135
457,"42_-1,-1,0_10,-25,-10",61.01739968,26.24094719,3.071612544,10000,-4.97,-4.97
458,"42_-1,-1,0_10,-25,-5",65.21674538,26.90092376,3.026190131,10000,-4.895,-4.895
459,"42_-1,-1,0_10,-20,-10",55.59295236,20.91426175,2.842933694,10000,-5.615,-5.615
460,"42_-1,-1,0_10,-20,-5",57.53507513,19.78694174,2.784445947,10000,-5.67,-5.67
461,"42_-1,-1,0_10,-15,-10",60.00609875,24.23417597,2.633879514,10000,-4.49,-4.49
462,"42_-1,-1,0_10,-15,-5",57.33868663,19.73178248,2.562818861,10000,-4.45,-4.45
463,"42_-1,-1,0_10,-10,-5",61.51441274,24.4839486,2.368871064,10000,-3.38,-3.38
464,"42_-1,-1,0_10,-5,-5",62.53014283,28.85659595,2.21154818,10000,-3.4,-3.4
465,"42_-1,-1,0_15,-25,-15",61.33227941,29.79445152,3.320844374,10000,-4.28,-4.28
466,"42_-1,-1,0_15,-25,-10",60.8036492,22.04363405,3.242772407,10000,-4.48,-4.48
467,"42_-1,-1,0_15,-25,-5",69.00959211,25.99251196,3.204560806,10000,-4.07,-4.07
468,"42_-1,-1,0_15,-20,-15",61.80499255,29.35113106,3.110380292,10000,-5.175,-5.175
469,"42_-1,-1,0_15,-20,-10",56.01279494,18.85710506,3.014940942,10000,-5.67,-5.67
470,"42_-1,-1,0_15,-20,-5",62.64231115,21.9398934,2.962942781,10000,-5.735,-5.735
471,"42_-1,-1,0_15,-15,-10",59.95357155,23.58854536,2.804365728,10000,-4.525,-4.525
472,"42_-1,-1,0_15,-15,-5",63.73049236,24.52432082,2.738752249,10000,-4.57,-4.57
473,"42_-1,-1,0_15,-10,-5",66.11454122,28.36656042,2.538531129,10000,-3.785,-3.785
474,"42_-1,-1,0_20,-25,-15",58.9140126,23.52049558,3.507820823,10000,-3.075,-3.075
475,"42_-1,-1,0_20,-25,-10",66.10465586,20.92360053,3.437813957,10000,-4.025,-4.025
476,"42_-1,-1,0_20,-25,-5",77.45073689,29.80994766,3.404880963,10000,-2.96,-2.96
477,"42_-1,-1,0_20,-20,-15",58.63150481,24.40562393,3.301076062,10000,-3.995,-3.995
478,"42_-1,-1,0_20,-20,-10",60.3533048,19.23453603,3.213372337,10000,-4.06,-4.06
479,"42_-1,-1,0_20,-20,-5",71.53354701,25.98182258,3.166020223,10000,-3.51,-3.51
480,"42_-1,-1,0_20,-15,-10",62.43082402,23.93148366,3.004237404,10000,-3.465,-3.465
481,"42_-1,-1,0_20,-15,-5",71.38429306,29.11978402,2.942422994,10000,-3.16,-3.16
482,"42_-1,-1,0_25,-30,-15",73.80672972,29.53694616,3.926773824,10000,-3.01,-3.01
483,"42_-1,-1,0_25,-25,-20",58.67683564,28.0240535,3.810844101,10000,-3.5,-3.5
484,"42_-1,-1,0_25,-25,-15",62.20871429,21.2023008,3.715190844,10000,-2.96,-2.96
485,"42_-1,-1,0_25,-25,-10",75.57593172,24.70314854,3.651556515,10000,-2.85,-2.85
486,"42_-1,-1,0_25,-20,-15",59.4458799,21.64882377,3.513853865,10000,-2.22,-2.22
487,"42_-1,-1,0_25,-20,-10",68.89385056,21.81678126,3.432279767,10000,-3.15,-3.15
488,"42_-1,-1,0_25,-15,-15",64.1180824,29.14980472,3.326290666,10000,-2.405,-2.405
489,"42_-1,-1,0_25,-15,-10",66.63479323,25.47599548,3.22667124,10000,-2.475,-2.475
490,"42_-1,-1,0_30,-25,-20",60.97342877,24.75532324,4.026694306,10000,-3.045,-3.045
491,"42_-1,-1,0_30,-25,-15",70.13483031,23.38814022,3.938288184,10000,-2.44,-2.44
492,"42_-1,-1,0_30,-20,-20",61.08518647,26.22786343,3.85186985,10000,-3.895,-3.895
493,"42_-1,-1,0_30,-20,-15",63.81798095,21.35077582,3.743477981,10000,-2.655,-2.655
494,"42_-1,-1,0_30,-20,-10",79.56012133,27.30607414,3.666489783,10000,-2.865,-2.865
495,"42_-1,-1,0_30,-15,-15",63.33436768,27.11117242,3.561086563,10000,-1.28,-1.28
496,"42_-1,-1,0_30,-15,-10",73.13064438,28.4833224,3.465806764,10000,-2.145,-2.145
497,"48_-1,-1,0_-5,-10,-5",30.71296501,25.78306869,1.957920879,10000,-2.69,-2.69
498,"48_-1,-1,0_-5,-10,0",35.25525384,28.09686166,1.984005565,10000,-1.84,-1.84
499,"48_-1,-1,0_-5,-5,-5",24.73755866,23.09851484,1.900430671,10000,-3.52,-3.52
500,"48_-1,-1,0_-5,-5,0",30.30166798,25.86454142,1.930089662,10000,-2.65,-2.65
501,"48_-1,-1,0_-5,0,-5",24.47993903,25.26723009,1.909671763,10000,-4.215,-4.215
502,"48_-1,-1,0_-5,0,0",28.46850001,25.78159516,1.944914693,10000,-3.425,-3.425
503,"48_-1,-1,0_-5,5,0",28.99953595,27.69450737,2.026865045,10000,-4.175,-4.175
504,"48_-1,-1,0_0,-15,-5",34.32588941,25.20149381,2.130025455,10000,-2.435,-2.435
505,"48_-1,-1,0_0,-10,-5",24.11098611,19.81764462,1.982293486,10000,-2.59,-2.59
506,"48_-1,-1,0_0,-10,0",36.21213352,29.43151295,2.012484895,10000,-1.27,-1.27
507,"48_-1,-1,0_0,-5,-10",29.07807075,29.65156407,1.940149717,10000,-3.37,-3.37
508,"48_-1,-1,0_0,-5,-5",17.7777876,17.35399405,1.890681601,10000,-2.595,-2.595
509,"48_-1,-1,0_0,-5,0",27.57337034,24.41733154,1.922069886,10000,-1.92,-1.92
510,"48_-1,-1,0_0,0,-5",17.3076518,19.07452714,1.864209572,10000,-3.12,-3.12
511,"48_-1,-1,0_0,0,0",24.31346109,23.26044357,1.898784941,10000,-2.395,-2.395
512,"48_-1,-1,0_0,5,-5",24.16884918,26.36621116,1.905791915,10000,-4.07,-4.07
513,"48_-1,-1,0_0,5,0",25.04078184,24.69108127,1.945216015,10000,-3,-3
514,"48_-1,-1,0_0,10,0",29.68191516,29.60390224,2.056316742,10000,-3.46,-3.46
515,"48_-1,-1,0_5,-15,-5",37.57034639,26.53358403,2.233164353,10000,-2.585,-2.585
516,"48_-1,-1,0_5,-10,-5",27.49418963,22.3239179,2.062004562,10000,-2.845,-2.845
517,"48_-1,-1,0_5,-5,-10",26.41408655,26.80149485,1.99035846,10000,-3.29,-3.29
518,"48_-1,-1,0_5,-5,-5",19.16011371,18.68373344,1.940655303,10000,-2.53,-2.53
519,"48_-1,-1,0_5,0,-10",23.77404921,27.04572059,1.932149234,10000,-3.305,-3.305
520,"48_-1,-1,0_5,0,-5",15.63608264,17.77534498,1.879777199,10000,-2.575,-2.575
521,"48_-1,-1,0_5,0,0",26.78919641,26.24517204,1.909359832,10000,-1.875,-1.875
522,"48_-1,-1,0_5,5,-5",20.69655152,23.23692411,1.885706987,10000,-3.015,-3.015
523,"48_-1,-1,0_5,5,0",25.4484739,25.40063613,1.917751201,10000,-2.26,-2.26
524,"48_-1,-1,0_5,10,0",29.90594841,28.96816269,1.993948981,10000,-2.88,-2.88
525,"48_-1,-1,0_10,-10,-10",36.67919169,29.79833963,2.231763522,10000,-3.63,-3.63
526,"48_-1,-1,0_10,-10,-5",34.48116676,26.67111631,2.190461819,10000,-3.12,-3.12
527,"48_-1,-1,0_10,-5,-10",29.20787655,27.71557508,2.096872403,10000,-3.37,-3.37
528,"48_-1,-1,0_10,-5,-5",25.39047205,23.38127767,2.045623817,10000,-3.075,-3.075
529,"48_-1,-1,0_10,0,-10",26.2886405,27.64561971,2.01265292,10000,-3.13,-3.13
530,"48_-1,-1,0_10,0,-5",19.80645666,20.54110568,1.954804012,10000,-2.87,-2.87
531,"48_-1,-1,0_10,5,-5",21.36803163,22.84411722,1.926378825,10000,-2.66,-2.66
532,"48_-1,-1,0_10,5,0",28.85272806,28.97104502,1.946972986,10000,-1.805,-1.805
533,"48_-1,-1,0_15,-5,-5",32.38657767,27.78718261,2.196996107,10000,-3.14,-3.14
534,"48_-1,-1,0_15,0,-5",25.85122723,24.66609582,2.082348707,10000,-2.96,-2.96
535,"48_-1,-1,0_15,5,-5",24.86645831,24.57477794,2.023857191,10000,-2.66,-2.66
536,"48_-1,-1,0_20,0,-5",32.73760012,28.49752505,2.25264197,10000,-2.85,-2.85
537,"48_-1,-1,0_20,5,-5",30.60499756,27.60766324,2.169826289,10000,-2.42,-2.42
538,"50_-1,-1,0_-5,-10,0",74.30694808,28.31081705,2.170604524,10000,-4.32,-4.32
539,"50_-1,-1,0_-5,-5,-5",66.04628063,28.17905281,2.090193064,10000,-4.46,-4.46
540,"50_-1,-1,0_-5,-5,0",68.02540943,28.6494391,2.088493315,10000,-4.4,-4.4
541,"50_-1,-1,0_0,-15,-5",67.36838435,25.67025937,2.359591021,10000,-4.705,-4.705
542,"50_-1,-1,0_0,-15,0",72.23650115,28.15287713,2.356014045,10000,-4.73,-4.73
543,"50_-1,-1,0_0,-10,-5",62.91493085,22.34085652,2.197077624,10000,-3.77,-3.77
544,"50_-1,-1,0_0,-10,0",66.36370627,23.29931444,2.194233259,10000,-3.5,-3.5
545,"50_-1,-1,0_0,-5,-5",60.2391006,23.47533827,2.080920206,10000,-3.845,-3.845
546,"50_-1,-1,0_0,-5,0",63.3958694,24.778406,2.081709553,10000,-3.83,-3.83
547,"50_-1,-1,0_0,0,-5",55.77213736,27.12109335,2.020071007,10000,-5.86,-5.86
548,"50_-1,-1,0_5,-15,-10",64.61779163,28.73878778,2.507566263,10000,-4.64,-4.64
549,"50_-1,-1,0_5,-15,-5",59.03759635,21.57031894,2.451129329,10000,-4.83,-4.83
550,"50_-1,-1,0_5,-10,-10",66.30372657,29.60528377,2.333908306,10000,-4.39,-4.39
551,"50_-1,-1,0_5,-10,-5",58.30145709,20.57732191,2.270453865,10000,-4.115,-4.115
552,"50_-1,-1,0_5,-10,0",69.7615116,29.32937974,2.27029369,10000,-4.005,-4.005
553,"50_-1,-1,0_5,-5,-5",59.19113897,23.72525871,2.130901466,10000,-3.84,-3.84
554,"50_-1,-1,0_5,-5,0",66.86689376,29.57813008,2.13151557,10000,-3.415,-3.415
555,"50_-1,-1,0_5,0,-5",55.91968431,26.98225371,2.042070208,10000,-5.115,-5.115
556,"50_-1,-1,0_5,5,-5",50.91735579,29.66397347,2.011394972,10000,-4.945,-4.945
557,"50_-1,-1,0_10,-20,-10",60.72530371,29.64902658,2.846968458,10000,-5.005,-5.005
558,"50_-1,-1,0_10,-15,-10",58.15123297,25.07146169,2.637152186,10000,-4.335,-4.335
559,"50_-1,-1,0_10,-15,-5",62.64451582,27.59668869,2.58642605,10000,-3.915,-3.915
