protein,target,start,num_conformers,num_poses_searched,num_correct_poses_found,time_elapsed,time_elapsed_per_conformer,grid_loc_x,grid_loc_y,grid_loc_z,num_after_simple_200,num_correct_after_simple_200,num_after_simple_100,num_correct_after_simple_100,num_after_ideal_advanced_15,num_correct_after_ideal_advanced_15,num_after_simple_100_ideal_advanced_15,num_correct_after_simple_100_ideal_advanced_15
P22756,3gba,2wky,183,402051,6008,685.7192895,3.747099943,-1,1,0,400136,6008,302271,5995,0,0,0,0
P22756,3gba,2wky,183,402051,698,751.4280198,4.106164042,-1,1,1,401899,698,352304,698,46,0,46,0
P22756,3gba,2wky,183,402051,20923,729.2226865,3.984823424,0,-1,-1,399848,20923,285768,20801,764,498,764,498
P22756,3gba,2wky,183,402051,17855,721.4214864,3.942193915,0,-1,0,400557,17855,304529,17809,138,0,138,0
P22756,3gba,2wky,183,402051,2235,724.3063107,3.957957982,0,-1,1,401089,2235,285710,2235,0,0,0,0
P22756,3gba,2wky,183,402051,44454,693.2197795,3.788086227,0,0,-1,399643,44454,323058,44000,3083,2506,3083,2506
P22756,3gba,2wky,183,402051,45364,685.7029984,3.74701092,0,0,0,401448,45364,359900,45333,5490,1812,5490,1812
P22756,3gba,2wky,183,402051,13152,739.384433,4.040352093,0,0,1,401985,13152,366431,13129,1297,31,1297,31
P22756,3gba,2wky,183,402051,24446,774.5669267,4.232606157,0,1,-1,387871,24446,243251,24017,57,57,57,57
P22756,3gba,2wky,183,402051,25770,735.3150518,4.018115037,0,1,0,400508,25770,316170,25487,539,375,539,375
P22756,3gba,2wky,183,402051,8019,662.7678444,3.62168221,0,1,1,401841,8019,351775,7989,681,16,681,16
P22756,3gba,2wky,183,402051,14406,783.2875068,4.2802596,1,-1,-1,384590,14406,97540,10507,0,0,0,0
P22756,3gba,2wky,183,402051,11188,787.4047782,4.302758351,1,-1,0,388644,11188,112960,9580,0,0,0,0
P22756,3gba,2wky,183,402051,838,894.5567267,4.888288124,1,-1,1,382559,838,70337,763,0,0,0,0
P22756,3gba,2wky,183,402051,30962,839.4508541,4.587163137,1,0,-1,393959,30962,205343,27626,650,650,650,650
P22756,3gba,2wky,183,402051,31571,800.9245591,4.376636935,1,0,0,398290,31571,252791,28946,13,0,13,0
P22756,3gba,2wky,183,402051,7539,800.0392141,4.371798984,1,0,1,399626,7539,217550,6641,0,0,0,0
P22756,3gba,2wky,183,402051,16182,829.8242986,4.534559009,1,1,-1,385765,16182,179498,14534,0,0,0,0
P22756,3gba,2wky,183,402051,18618,796.9104807,4.354702081,1,1,0,397849,18618,256132,17486,2,2,2,2
P22756,3gba,2wky,183,402051,4477,768.8983595,4.20163038,1,1,1,401037,4477,264953,4358,0,0,0,0
Q58597,4rrg,4rrf,236,518492,0,1198.947073,5.08028421,-1,-1,-1,337081,0,55938,0,0,0,0,0
Q58597,4rrg,4rrf,236,518492,291,1171.331864,4.963270612,-1,-1,0,461494,291,156034,291,14,0,14,0
Q58597,4rrg,4rrf,236,518492,0,1091.303038,4.624165414,-1,-1,1,478080,0,213535,0,8715,0,8413,0
Q58597,4rrg,4rrf,236,518492,1255,1189.323239,5.039505249,-1,0,-1,438012,1255,143080,1102,0,0,0,0
Q58597,4rrg,4rrf,236,518492,19484,1087.518375,4.608128708,-1,0,0,498109,19484,266973,16917,2902,445,2902,445
Q58597,4rrg,4rrf,236,518492,16981,1065.002652,4.512723101,-1,0,1,497555,16981,291203,16397,52219,4363,51386,4343
Q58597,4rrg,4rrf,236,518492,1072,1175.272022,4.979966195,-1,1,-1,470696,1072,211876,1016,110,0,110,0
Q58597,4rrg,4rrf,236,518492,26293,1119.536124,4.743797138,-1,1,0,500015,26293,355920,24064,7752,1405,7752,1405
Q58597,4rrg,4rrf,236,518492,22537,1050.598683,4.451689333,-1,1,1,499733,22537,356310,21606,71579,9005,71396,9005
Q58597,4rrg,4rrf,236,518492,181,1076.614682,4.561926618,0,-1,-1,432690,181,151074,181,0,0,0,0
Q58597,4rrg,4rrf,236,518492,3696,1004.545822,4.256550095,0,-1,0,475413,3696,236128,3696,1042,143,1042,143
Q58597,4rrg,4rrf,236,518492,2442,994.9714203,4.215980594,0,-1,1,453321,2442,259851,2441,20427,698,20122,698
Q58597,4rrg,4rrf,236,518492,6595,1026.171291,4.348183436,0,0,-1,476301,6595,242920,5937,0,0,0,0
Q58597,4rrg,4rrf,236,518492,65409,991.6048017,4.201715261,0,0,0,496002,65406,311018,57803,16317,6820,16267,6820
Q58597,4rrg,4rrf,236,518492,60152,968.6132169,4.104293292,0,0,1,483402,60152,297714,54352,49678,15447,49184,15436
Q58597,4rrg,4rrf,236,518492,9975,1029.155007,4.360826299,0,1,-1,479352,9975,277840,8716,33,0,33,0
Q58597,4rrg,4rrf,236,518492,83674,998.2003706,4.229662587,0,1,0,498025,83537,352136,71085,25132,12498,25132,12498
Q58597,4rrg,4rrf,236,518492,79876,986.5756617,4.180405346,0,1,1,491125,79795,297817,64992,53058,23268,52628,23112
Q58597,4rrg,4rrf,236,518492,0,1052.798794,4.461011839,1,-1,-1,446909,0,240295,0,0,0,0,0
Q58597,4rrg,4rrf,236,518492,65,998.6392541,4.231522263,1,-1,0,455107,65,280065,65,1531,0,1531,0
Q58597,4rrg,4rrf,236,518492,34,997.859338,4.228217534,1,-1,1,429852,34,249449,34,2533,0,2532,0
Q58597,4rrg,4rrf,236,518492,1596,1097.066311,4.648586065,1,0,-1,477870,1596,269077,1485,273,42,273,42
Q58597,4rrg,4rrf,236,518492,36226,1059.593408,4.489802576,1,0,0,483245,36226,298787,34306,12569,6079,12525,6077
Q58597,4rrg,4rrf,236,518492,31055,1102.677705,4.672363157,1,0,1,459628,31055,238070,27012,10897,3674,10836,3672
Q58597,4rrg,4rrf,236,518492,2405,1031.886354,4.372399804,1,1,-1,465647,2405,256890,2099,549,289,549,289
Q58597,4rrg,4rrf,236,518492,53346,1041.743528,4.414167492,1,1,0,482454,53346,278723,43656,9240,4728,9225,4724
Q58597,4rrg,4rrf,236,518492,51265,1065.728583,4.51579908,1,1,1,462615,51254,166190,33870,13426,7016,13076,6808
